verb,var,class,freq
film,causativity,causative,89
film,causativity,anticausative,11
film,transitivity,transitive,50
film,transitivity,intransitive,50
film,subject_animacy,animate,63
film,subject_animacy,inanimate,37
film,subject_role,agent,61
film,subject_role,patient,39
