verb,var,class,freq
air,causativity,causative,314
air,causativity,anticausative,230
air,transitivity,intransitive,370
air,transitivity,transitive,174
air,subject_animacy,inanimate,386
air,subject_animacy,animate,158
air,subject_role,patient,368
air,subject_role,agent,176
